SKU,Name
KITEXT16FHD-K-1,"Kit de supraveghere video 16 camere exterior, accesorii incluse, rezolutie 2MP Full HD KITEXT16FHD-K-1"
KIT16MIXTSAF,Sistem supraveghere mixt 16 camere rezolutie Full HD IR 40 metri
KITSAF-16X-5MP28I40,"Kit de supraveghere video de exterior, 16 camere 5 MP, IR 40 m, DVR 16 canale, Safer, KITSAF-16X-5MP28I40"
KITINT16-s2,"Kit sistem de supraveghere 16 camere interior FULL HD, inregistrare sunet, KITINT16-s2"
SAF16XPRODM5MP20,"Kit de supraveghere video 16 camere interior cu DVR, rezolutie 5MP, Safer, SAF16XPRODM5MP20"
KIT-DAHUA16-5MPLED40,"Pachet cu sistem de supraveghere compus din 16 camere cu microfon Dahua Full Color, 5MP, si DVR cu AI, KIT-DAHUA16-5MPLED40"
SAF-1XFHDIR40,"Kit supraveghere video, DVR cu 1 camera bullet, smart IR 40m, Hikvision SAF-1XFHDIR40"
IPC-B46LP+SD,"Camera IP Wireless cu baterii Imou Cell 2 Black 4MP, Card 32GB Inclus, Smart illumintaion IR+LED, PIR, Alarma, microfon si difuzor, IPC-B46LP+SD"
IPC-B46LP-White+SD,"Camera IP Wireless cu baterii Imou Cell 2, Card 32GB Inclus, 4MP, Smart illumintaion IR+LED, PIR, Alarma, microfon si difuzor, IPC-B46LP-White"
KIT-B46LPW-SOLAR-SD,"Kit camera IP cu baterie si Panou solar,  Wireless, 2MP 4K, Incarcare solara 3W, card microSD, Imou KIT-B46LPW-SOLAR-SD"
KIT-B46LPB-SOLAR-SD,"Kit de supraveghere IP Wireless cu panou solar 3W si card microSD, Imou KIT-B46LPB-SOLAR-SD"
KIT1EXTFHD20,"Sistem supraveghere 1 camera exterior 2 MP, IR 80m, DVR 4 canale, Dahua, KIT1EXTFHD20"
KITSAF-1X-5MP28I40,"Kit de supraveghere video de exterior, 1 camera 5 MP, IR 40 m, DVR 4 canale, Dahua, KITSAF-1X-5MP28I40"
KIT1EXT,"Sistem de supraveghere 1 camera exterior 5 megapixeli, 2K+, KIT1EXT"
KIT-IPC-B32P-FSP12,"Pachet camera de supraveghere Imou CellGo si panou solar 3W, KIT-IPC-B32P-FSP12"
KIT1EXT40M,"Kit de supraveghere pentru exterior, DVR, camera 5MP, IR 40 metri, wide-angle 2.8mm, KIT1EXT40M"
KIT1INT,"Sistem de supraveghere 1 camera interior 8 megapixeli, 4K KIT1INT"
KITSAF-1X-5MP28L40-HDD,"Kit de supraveghere pentru exterior, o camera bullet, 5MP, starlight, DVR 4 canale, Hard Disk 2TB, Dahua KITSAF-1X-5MP28L40-HDD"
KITSAF2X-2MP2028U,"Kit de supraveghere pentru exterior, 2 camere de 2MP Full HD, IR 20m, Tehnologie HDCVI, DVR 4 canale, Functii AI, Dahua KITSAF2X-2MP2028U"
KITSAF2X-PRO-5MP8036,"Kit de supraveghere video pentru exterior, 2 camere, 2 MP, IR 80 m, Safer, DVR 4 canale, Hikvision, KITSAF2X-PRO-5MP8036"
KITINT-2X-5MP28I20,"Kit de supraveghere video, 2 camere Dome, Full Color, 5MP, Led alb 20m, DVR 4 canale, Safer KITINT-2X-5MP28I20"
KITSAF2X-5MP2028U,"Kit de supraveghere video pentru exterior, 2 camere 5 MP, IR 20 m, DVR 4 canale, Safer, KITSAF2X-5MP2028U"
SAF-2XB1A21-TW,"Kit supraveghere video 2 camere, FULL HD, IR 20m, DVR cu AI si accesorii"
KITSAF-2X-5MP28I40,"Kit de supraveghere video de exterior, 2 camere 5 MP, IR 40 m, DVR 4 canale, Safer, KITSAF-2X-5MP28I40"
