SKU,Name,Price,Discount,Price Difference
KITIP-4X-2MP2830HDDPOE,"Kit de supraveghere video IP de exterior, 4 camere 2 MP, IR 30 m, NVR 4 canale, PoE, HDD (hard disk inclus), Safer, KITIP-4X-2MP2830HDDPOE",1598.99,1029.99,569.0
DS-7616NXI-K2/16P,"NVR 16 canale PoE, AcuSense, 4K, Latime de banda 160Mbps, 2x SATA, 1U, Hikvision DS-7616NXI-K2/16P",1792.99,1226.28,566.71
SAF-4X2MPLED-POE,"Kit supraveghere video Safer, 4 camere, 2MP Full HD, NVR 4 canale, SAF-4X2MPLED-POE",1361.99,796.99,565.0
KIT8KW-3FAZE-GR-455,"Sistem de alimentare cu energie solara, 8KW, Trifazat, On-Grid, KIT8KW-3FAZE-GR-455",21188.5,20629.33,559.1699999999983
55BM66AE,"Monitor 4K ELED UHD, diagonala 55 inci, suporta Wi-Fi, intrari HDMI, VGA, DVI, USB, DP, RS232, Hisense 55BM66AE",6499.99,5941.0,558.9899999999998
KITVHIKIP-WH,Set videointerfon Hikvision TCP/IP cu monitor 7 inch wireless,1550.99,992.99,558.0
DS-2DE5425IW-AE(T5),"Speed Dome, DarkFighter, 4MP - 2K, lentila varifocala 4.8 - 120 mm, IR 150 metri, AcuSense, PoE, MicroSD, Hikvision DS-2DE5425IW-AE(T5)",2317.99,1760.79,557.1999999999998
KITIP-4X-2MP2830,"Kit de supraveghere video IP de exterior, 4 camere 2 MP, IR 30 m, NVR 4 canale, Safer, KITIP-4X-2MP2830",1361.99,804.99,557.0
KIT-8SAFPRO8X4KACC,"Kit supraveghere video, DVR cu 8 camere bullet, 5MP, smart IR 80m, accesorii inluse, KIT-8SAFPRO8X4KACC",2489.99,1942.99,546.9999999999998
KIT-8SAFPRO8X4KACC,"Kit supraveghere video, DVR cu 8 camere bullet, 5MP, smart IR 80m, accesorii inluse, KIT-8SAFPRO8X4KACC",2489.99,1942.99,546.9999999999998
KITAXPRO64+2SZR+SIR,"Kit sistem de alarma Tri-X wireless, 32 de utilizatori, 3 senzori, sirena de exterior, Hikvision KITAXPRO64+2SZR+SIR",1984.99,1448.99,536.0
DS-PWA96-M-WE,"Centrala de efractie AX PRO Wireless, 96 zone, 3G/4G + RFID, Hikvision DS-PWA96-M-WE",1306.99,774.54,532.45
KIT4KW-TRIFAZ-HUAWEI455,"Sistem de alimentare cu energie solara, 4KW, Trifazat, Hibrid, Montaj pe acoperis de tigla KIT4KW-TRIFAZ-HUAWEI455",13199.89,12671.24,528.6499999999996
DS-2DE4425IW-DE(T5),"Camera speed dome, 4 Megapixeli, IP, DARKFIGHTER 25X zoom optic, 100M distanta IR, Deep learning AI, DS-2DE4425IW-DE(T5)",2125.99,1615.12,510.8699999999999
KIT5KW-MONO-GR-380,"Sistem fotovoltaic ON-GRID 5KW, monofazat, montaj pe acoperis din tigla, KIT5KW-MONO-GR-380",13753.61,13243.49,510.1200000000008
55B4E31T,"Monitor 4K DLED, diagonala 55 inci, suporta Wi-Fi, intrari 2xHDMI, Hisense 55B4E31T",5999.99,5490.0,509.9899999999998
AJAX DUALCURTAIN OUTDOOR,"Detector miscare tip cortina, wireless, 4 senzori PIR, 868 MHz, distanta de detectie 4-15 m, AJAX DUALCURTAIN OUTDOOR",1286.99,782.13,504.86
KIT5KW-MONO-GR-380-OFF,"Sistem fotovoltaic OFF-GRID 5KW, monofazat, montaj pe acoperis din tigla, KIT5KW-MONO-GR-380-OFF",14348.75,13845.17,503.5799999999999
